plant_id,company_id,TYPE,CAPACITY,name,carbon_2000,carbon_2007,carbon_nextdecade,energy_2000,energy_2007,energy_nextdecade,intensity_2000,intensity_2007,intensity_nextdecade,perc_cap,country,iso3,state,city_name,latitude,longitude
12587,ERARING ENERGY,Black Coal,2640,ERARING,18500000,19800000,20000000,17000000,18300000,18500000,2177,2164,2162,60.72272727,Australia,AUS,New South Wales,Dora Creek,-33.08333,151.5
3667,MACQUARIE GENERATION,Black Coal,2640,BAYSWATER,18500000,19800000,20000000,17000000,18200000,18500000,2178,2165,2162,60.39090909,Australia,AUS,New South Wales,Muswellbrook,-32.27,150.9
25185,MACQUARIE GENERATION,Black Coal,2000,LIDDELL,13700000,14700000,14800000,12300000,13200000,13300000,2237,2223,2221,57.816,Australia,AUS,New South Wales,Muswellbrook,-32.27,150.9
26026,LOY YANG POWER MANAGEMENT,Brown Coal,2200,LOY YANG A,13500000,14400000,14600000,12000000,13000000,13100000,2243,2229,2227,51.76363636,Australia,AUS,Victoria,Traralgon South,-38.26667,146.55
15208,GLADSTONE POWER STATION,Black Coal,1680,GLADSTONE,11100000,11800000,11900000,9673812,10400000,10500000,2285,2270,2268,54.22857143,Australia,AUS,Queensland,Gladstone,-23.85,151.25
50446,TRUENERGY LTD,Brown Coal,1480,YALLOURN,9404468,11500000,11600000,8534000,10400000,10500000,2204,2204,2204,61.55675676,Australia,AUS,Victoria,Yallourn,-38.18333,146.3333
17233,INTERNATIONAL POWER AUSTRALIA,Brown Coal,1600,HAZELWOOD,10800000,11500000,11600000,9436144,10100000,10200000,2290,2276,2275,55.2975,Australia,AUS,Victoria,Morwell,-38.23,146.4
44647,TARONG ENERGY CORP LTD,Black Coal,1400,TARONG,9196047,9841752,9956845,7913802,8523634,8633139,2324,2309,2307,53.3335956,Australia,AUS,Queensland,Nanango,-26.67,152
43061,STANWELL CORP LTD,Black Coal,1445,STANWELL,8997788,9665819,9841808,7723646,8352934,8525430,2330,2314,2309,50.63785594,Australia,AUS,Queensland,Rockhampton,-23.38,150.5
47612,DELTA ELECTRICITY,Black Coal,1320,VALES POINT,8716989,9319032,9406751,7460432,8025737,8108397,2337,2322,2320,53.26170918,Australia,AUS,New South Wales,Mannering Park,-31.9,152.65
29573,DELTA ELECTRICITY,Black Coal,1400,MOUNT PIPER,8455292,9083748,21300000,7215823,7804385,21400000,2344,2328,1999,48.83315186,Australia,AUS,New South Wales,Portland,-33.36,150.03
48810,DELTA ELECTRICITY,Black Coal,1000,WALLERAWANG,6546068,6998615,7065881,5454156,5867839,5929553,2400,2385,2383,51.40226964,Australia,AUS,New South Wales,Wallerawang,-33.42,150.07
26027,INTERNATIONAL POWER AUSTRALIA,Brown Coal,1050,LOY YANG B,6338286,6811567,6941457,5265105,5696542,5815453,2408,2391,2387,47.52543611,Australia,AUS,Victoria,Traralgon,-38.18333,146.5333
28503,INTERGEN (AUSTRALIA) PTY LTD,Black Coal,852,MILLMERRAN,0,5752316,5935174,0,5426333,5615258,0,2120,2114,55.79187451,Australia,AUS,Queensland,Millmerran,-27.86667,151.2667
6731,INTERGEN (AUSTRALIA) PTY LTD,Black Coal,900,CALLIDE C,0,5727060,5881914,0,5400284,5560175,0,2121,2116,52.56276427,Australia,AUS,Queensland,Brisbane,-27.46,153.02
6730,CS ENERGY CORP LTD,Black Coal,730,CALLIDE,5293564,5667970,5740632,4323707,4659245,4724612,2449,2433,2430,55.91094,Australia,AUS,Queensland,Biloela,-24.42,150.5
29777,VERVE ENERGY,Black Coal,854,MUJA,5192390,5555740,5618983,4233415,4558444,4615225,2453,2438,2435,46.75874642,Australia,AUS,Western Australia,Muja,-33.36,116.24
43986,CS ENERGY CORP LTD,Black Coal and Gas,510,SWANBANK,3323702,4281817,4354433,2605833,4197240,4310151,2551,2040,2021,72.09376941,Australia,AUS,Queensland,Ipswich,-27.62,152.77
23505,VERVE ENERGY,Black Coal,640,KWINANA,4423113,4729737,4777953,3738585,4024494,4074287,2366,2350,2345,55.08526163,Australia,AUS,Western Australia,Naval Base,0,0
29872,DELTA ELECTRICITY,Black Coal,600,MUNMORAH,3975079,4246818,4280747,3164664,3402101,3432097,2512,2497,2495,49.6706746,Australia,AUS,New South Wales,Doyalson,-33.2,151.54
46583,SNOWY HYDRO LTD,Hydro,1500,TUMUT-3,0,0,0,3157311,2920256,2920256,0,0,0,17.05429504,Australia,AUS,New South Wales,Talbingo,-35.56667,148.3
31675,FLINDERS POWER,Black Coal,520,NORTHERN AUGUSTA,3383786,3622647,3668493,2650380,2855657,2895206,2553,2537,2534,48.10683715,Australia,AUS,South Australia,Port Augusta,-32.5,137.7667
44648,TARONG NORTH POWER STATION JV,Black Coal,443,TARONG NORTH,0,3081849,3190652,0,2742137,2848191,0,2248,2240,54.22374745,Australia,AUS,Queensland,Nanango,-26.66667,152
45957,AGL ENERGY LTD,Gas reciprocating,1280,TORRENS ISLAND,1453538,1453538,1485860,2235000,2235000,2305511,1301,1301,1289,15.29578125,Australia,AUS,South Australia,Gillman,-34.78,138.52
29965,SNOWY HYDRO LTD,Hydro,950,MURRAY-1,0,0,0,2001630,1851345,1851345,0,0,0,17.07134968,Australia,AUS,New South Wales,Khancoban,-36.2,148.0833
9063,TRANSFIELD SERVICES PTY LTD,Black Coal,300,COLLIE VERVE,2206456,2387430,2455010,1660378,1809875,1865978,2658,2638,2631,52.84835,Australia,AUS,Western Australia,Collie,-33.36,116.15
34072,INTERNATIONAL POWER AUSTRALIA,Gas Turbine,450,PELICAN POINT,293749,627130,1321865,522716,1455120,2918329,1124,862,906,28.326336,Australia,AUS,South Australia,Outer Harbour,-34.79,138.51
34704,ALCOA OF AUSTRALIA,Gas turbine,280,PINJARRA WORKS,81955,707392,736752,131879,1348905,1409393,1243,1049,1045,42.20145643,Australia,AUS,Western Australia,Pinjarra,-32.63,115.88
