I,CO2EII,PUBLISHING,1,STATIONNAME,DUID,GENSETID,REGIONID,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,CO2E_DATA_SOURCE
D,CO2EII,PUBLISHING,1,Hazelwood Power Station,HWPNL1,HWPNL1,VIC1,1.527,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Hazelwood Power Station,HWPS1,HWPS1,VIC1,1.527,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Hazelwood Power Station,HWPS2,HWPS2,VIC1,1.527,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Hazelwood Power Station,HWPS3,HWPS3,VIC1,1.527,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Hazelwood Power Station,HWPS4,HWPS4,VIC1,1.527,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Hazelwood Power Station,HWPS5,HWPS5,VIC1,1.527,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Hazelwood Power Station,HWPS6,HWPS6,VIC1,1.527,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Hazelwood Power Station,HWPS7,HWPS7,VIC1,1.527,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Hazelwood Power Station,HWPS8,HWPS8,VIC1,1.527,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Playford B Power Station,PLAYB-AG,PLAYB-AG,SA1,1.511,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Playford B Power Station,PLAYB-AG,PLAYFB2,SA1,1.511,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Playford B Power Station,PLAYB-AG,PLAYFB3,SA1,1.511,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Playford B Power Station,PLAYB-AG,PLAYFB4,SA1,1.511,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Energy Brix Complex Power Station,MOR1,MOR1,VIC1,1.49,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Energy Brix Complex Power Station,MOR2,MOR2,VIC1,1.49,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Energy Brix Complex Power Station,MOR3,MOR3,VIC1,1.49,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Energy Brix Complex Power Station,MORNL1,MORNL1,VIC1,1.49,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,YALLOURN 'W' POWER STATION,YWNL1,YWNL1,VIC1,1.422,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,YALLOURN 'W' POWER STATION,YWPS1,YWPS1,VIC1,1.422,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,YALLOURN 'W' POWER STATION,YWPS2,YWPS2,VIC1,1.422,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,YALLOURN 'W' POWER STATION,YWPS3,YWPS3,VIC1,1.422,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,YALLOURN 'W' POWER STATION,YWPS4,YWPS4,VIC1,1.422,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,LOY YANG B POWER STATION,LOYYB1,LOYYB1,VIC1,1.242,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,LOY YANG B POWER STATION,LOYYB2,LOYYB2,VIC1,1.242,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,LOY YANG A POWER STATION,LYA1,LYA1,VIC1,1.215,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,LOY YANG A POWER STATION,LYA2,LYA2,VIC1,1.215,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,LOY YANG A POWER STATION,LYA3,LYA3,VIC1,1.215,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,LOY YANG A POWER STATION,LYA4,LYA4,VIC1,1.215,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,LOY YANG A POWER STATION,LYNL1,LYNL1,VIC1,1.215,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Redbank Power Station,REDBANK1,REDBANK1,NSW1,1.213,Other solid fossil fuels,NTNDP
D,CO2EII,PUBLISHING,1,ANGELSEA POWER STATION,APS,APS,VIC1,1.208,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Collinsville Power Station,COLNSNL1,COLNSNL1,QLD1,1.188,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Collinsville Power Station,COLNSV_1,COLNSV_1,QLD1,1.188,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Collinsville Power Station,COLNSV_2,COLNSV_2,QLD1,1.188,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Collinsville Power Station,COLNSV_3,COLNSV_3,QLD1,1.188,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Collinsville Power Station,COLNSV_4,COLNSV_4,QLD1,1.188,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Collinsville Power Station,COLNSV_5,COLNSV_5,QLD1,1.188,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,MUNMORAH POWER STATION,MM3,MM3,NSW1,1.157,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,MUNMORAH POWER STATION,MM4,MM4,NSW1,1.157,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,MUNMORAH POWER STATION,MMNL1,MMNL1,NSW1,1.157,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Swanbank B Power Station & Swanbank E Gas Turbine,SWAN_B_1,SWAN_B_1,QLD1,1.091,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Swanbank B Power Station & Swanbank E Gas Turbine,SWAN_B_3,SWAN_B_3,QLD1,1.091,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Swanbank B Power Station & Swanbank E Gas Turbine,SWANNL2,SWANNL2,QLD1,1.091,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Liddell Power Station,LD01,LD01,NSW1,1.081,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Liddell Power Station,LD02,LD02,NSW1,1.081,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Liddell Power Station,LD03,LD03,NSW1,1.081,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Liddell Power Station,LD04,LD04,NSW1,1.081,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Liddell Power Station,LIDDNL1,LIDDNL1,NSW1,1.081,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Hallett Power Station,AGLHAL,AGLHAL,SA1,1.049,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Wallerawang Power Station,WW7,WW7,NSW1,1.045,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Wallerawang Power Station,WW8,WW8,NSW1,1.045,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Wallerawang Power Station,WWNL1,WWNL1,NSW1,1.045,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Wallerawang Power Station,WWNL1,WWNL2,NSW1,1.045,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,ANGASTON POWER STATION,ANGAS1,ANGAS1,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,ANGASTON POWER STATION,ANGAS2,ANGAS2,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Hunter Economic Zone Power Station,HEZ,HEZ,NSW1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Lonsdale Power Station,LONSDALE,LONSDAL2,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Lonsdale Power Station,LONSDALE,LONSDALE,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Lucas Heights II Stage 2,LUCAS2S2,LUCAS2S2,NSW1,1.014,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Port Lincoln Gas Turbine,POR01,POR01,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Port Lincoln Gas Turbine,POR03,POR03,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,SNUGGERY POWER STATION,SNUG1,SNUG1,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,SNUGGERY POWER STATION,SNUG1,SNUG2,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,SNUGGERY POWER STATION,SNUG1,SNUG3,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,SNUGGERY POWER STATION,SNUGNL1,SNUGNL1,SA1,1.014,Diesel oil,NTNDP
