Time,NQ,CQ,SWQ,SEQ,NNSW,Hunter,Central,SYD,STHRN,CAN,SWNSW,NVIC,CVIC,LV,MEL,WVIC,SESA,ADE,NSA,FNSA,TAS
1/4/2013 0:00,453.4,1058,352.7,3174,584,1232.9,324.4,3439,389.3,389.3,324.4,248.8,398,248.8,3130,949.8,91.9,1088,183.9,168.6,958.1
1/4/2013 1:00,425.8,993.4,331.1,2980.3,556.7,1175.3,309.3,3278.5,371.2,371.2,309.3,222.5,356,222.5,2704.2,944.5,83.2,985,166.5,152.6,947.5
1/4/2013 2:00,405.5,946.2,315.4,2838.6,519.5,1096.6,288.6,3059,346.3,346.3,288.6,224.9,359.9,224.9,2743.9,945,74.4,879.9,148.7,136.3,924.2
1/4/2013 3:00,396.9,926,308.7,2778.1,505.8,1067.8,281,2978.5,337.2,337.2,281,210.1,336.2,210.1,2504.2,942,68.5,810.9,137,125.6,932
1/4/2013 4:00,399.3,931.8,310.6,2795.4,501.4,1058.6,278.6,2952.8,334.3,334.3,278.6,207.7,332.3,207.7,2465,941.5,64.9,767.7,129.8,118.9,920.3
1/4/2013 5:00,405.2,945.5,315.2,2836.6,516.8,1090.9,287.1,3043.1,344.5,344.5,287.1,209.9,335.9,209.9,2501,942,66.1,781.8,132.1,121.1,951.1
1/4/2013 6:00,413.9,965.7,321.9,2897.1,545.1,1150.8,302.9,3210.2,363.4,363.4,302.9,218,348.8,218,2631.9,943.6,68,804.4,136,124.6,970.5
1/4/2013 7:00,432.4,1009,336.3,3027.1,578.9,1222.1,321.6,3409.1,385.9,385.9,321.6,229.6,367.4,229.6,2819.6,945.9,70.7,836.4,141.4,129.6,1005.5
1/4/2013 8:00,458.4,1069.6,356.5,3208.7,625.4,1320.2,347.4,3682.6,416.9,416.9,347.4,236.5,378.5,236.5,2931.9,947.3,70,828.1,140,128.3,1068.2
1/4/2013 9:00,481,1122.4,374.1,3367.1,665.6,1405.1,369.8,3919.6,443.7,443.7,369.8,245.6,393,245.6,3079.1,949.1,72.8,861.1,145.5,133.4,1070
1/4/2013 10:00,489.2,1141.4,380.5,3424.2,672.4,1419.5,373.6,3959.7,448.3,448.3,373.6,244.5,391.1,244.5,3060.3,948.9,73.5,870.3,147.1,134.8,1063.7
1/4/2013 11:00,494,1152.6,384.2,3457.7,665.6,1405.1,369.8,3919.5,443.7,443.7,369.8,243.5,389.6,243.5,3044.5,948.7,71,840.5,142.1,130.2,1064.8
1/4/2013 12:00,491.8,1147.5,382.5,3442.6,658.8,1390.7,366,3879.5,439.2,439.2,366,243.2,389.2,243.2,3040.4,948.6,69.2,819.1,138.4,126.9,1027.4
1/4/2013 13:00,498.2,1162.5,387.5,3487.4,651.5,1375.5,362,3836.9,434.4,434.4,362,239.1,382.5,239.1,2972.8,947.8,67.2,795.7,134.5,123.3,1006.4
1/4/2013 14:00,503,1173.6,391.2,3520.7,643.6,1358.8,357.6,3790.2,429.1,429.1,357.6,234.2,374.8,234.2,2894.6,946.8,66.8,790.2,133.6,122.4,994.1
1/4/2013 15:00,506.8,1182.6,394.2,3547.9,650.1,1372.4,361.1,3828.2,433.4,433.4,361.1,240.4,384.7,240.4,2995.1,948.1,67.7,801.3,135.4,124.1,1001.7
1/4/2013 16:00,519.8,1212.9,404.3,3638.7,668.9,1412.2,371.6,3939.2,445.9,445.9,371.6,246.4,394.3,246.4,3091.9,949.3,69.3,820.2,138.6,127.1,1027.8
1/4/2013 17:00,538.2,1255.7,418.6,3767.2,682.9,1441.7,379.4,4021.6,455.3,455.3,379.4,251.7,402.7,251.7,3177.2,950.3,75,888,150.1,137.6,1063.4
1/4/2013 18:00,563.8,1315.6,438.5,3946.7,692.9,1462.8,384.9,4080.4,461.9,461.9,384.9,257.8,412.5,257.8,3276.8,951.6,80.1,947.9,160.2,146.9,1058.2
1/4/2013 19:00,565.9,1320.4,440.1,3961.3,700,1477.9,388.9,4122.5,466.7,466.7,388.9,267,427.2,267,3425.6,953.4,84.3,997.5,168.6,154.5,1084.3
1/4/2013 20:00,536,1250.6,416.9,3751.8,668.9,1412.2,371.6,3939.3,446,446,371.6,257.5,412.1,257.5,3272.3,951.5,82.7,978.4,165.4,151.6,1036.4
1/4/2013 21:00,521.5,1216.7,405.6,3650.2,636.9,1344.7,353.9,3750.9,424.6,424.6,353.9,246.5,394.3,246.5,3092.7,949.3,80,946.5,160,146.6,1010.6
1/4/2013 22:00,512.3,1195.3,398.4,3586,632.7,1335.8,351.5,3726.2,421.8,421.8,351.5,228.2,365.2,228.2,2797.2,945.6,76.4,904.6,152.9,140.1,960.7
1/4/2013 23:00,487.3,1137.1,379,3411.2,633.7,1337.8,352.1,3731.8,422.5,422.5,352.1,230.8,369.3,230.8,2838.9,946.2,75.3,890.8,150.6,138,913.8
2/4/2013 0:00,465,1085.1,361.7,3255.2,619.5,1307.7,344.1,3647.9,413,413,344.1,246.1,393.8,246.1,3087.1,949.2,91.1,1078,182.2,167,901.2
2/4/2013 1:00,437.9,1021.8,340.6,3065.4,586.5,1238.3,325.9,3454.1,391,391,325.9,221.8,354.8,221.8,2692.6,944.4,84.1,994.7,168.1,154.1,911
2/4/2013 2:00,413.6,965,321.7,2895.1,541.4,1143,300.8,3188.5,361,361,300.8,219.2,350.8,219.2,2651.8,943.8,74.5,881.3,149,136.5,915.1
2/4/2013 3:00,411,959,319.7,2876.9,518.5,1094.5,288,3053.1,345.6,345.6,288,211.1,337.8,211.1,2520.3,942.2,69.9,827,139.8,128.1,903.4
2/4/2013 4:00,411.2,959.4,319.8,2878.1,523.7,1105.6,290.9,3084,349.1,349.1,290.9,210.7,337.2,210.7,2514.1,942.1,69.8,825.6,139.5,127.9,921.6
2/4/2013 5:00,423.1,987.2,329.1,2961.7,567.5,1198,315.3,3341.7,378.3,378.3,315.3,222.5,356,222.5,2704,944.5,71.4,844.6,142.8,130.9,972.9
2/4/2013 6:00,456.3,1064.7,354.9,3194,666.6,1407.3,370.3,3925.6,444.4,444.4,370.3,252.5,403.9,252.5,3189.8,950.5,80.6,954.1,161.2,147.8,1061.5
2/4/2013 7:00,508.8,1187.3,395.8,3561.9,729.7,1540.4,405.4,4296.8,486.4,486.4,405.4,287.1,459.4,287.1,3751.7,957.4,92.3,1092.5,184.6,169.3,1139.9
2/4/2013 8:00,544,1269.4,423.1,3808.1,743.3,1569.2,412.9,4377.2,495.5,495.5,412.9,291.7,466.7,291.7,3825.7,958.3,92.7,1097.4,185.5,170,1132.8
2/4/2013 9:00,562.4,1312.3,437.4,3936.9,763.5,1611.9,424.2,4496.4,509,509,424.2,296.8,474.9,296.8,3908.1,959.4,91.9,1087.3,183.8,168.5,1148.9
2/4/2013 10:00,560.5,1307.8,435.9,3923.5,765.8,1616.7,425.4,4509.6,510.5,510.5,425.4,298.9,478.2,298.9,3941.9,959.8,91.9,1087,183.7,168.4,1127.4
2/4/2013 11:00,562.2,1311.8,437.3,3935.4,766.9,1619,426.1,4516.2,511.3,511.3,426.1,299.7,479.5,299.7,3955.2,959.9,93.3,1103.9,186.6,171,1114.1
2/4/2013 12:00,571.3,1333,444.3,3999.1,769.5,1624.5,427.5,4531.4,513,513,427.5,298.9,478.2,298.9,3941.7,959.8,92.1,1089.9,184.2,168.9,1080.4
2/4/2013 13:00,579.2,1351.4,450.5,4054.3,774.6,1635.2,430.3,4561.5,516.4,516.4,430.3,297.1,475.4,297.1,3913.6,959.4,91.7,1085.5,183.5,168.2,1067.9
2/4/2013 14:00,585.6,1366.5,455.5,4099.4,774.5,1635.1,430.3,4561.2,516.4,516.4,430.3,298.3,477.3,298.3,3932.6,959.7,91.2,1079.6,182.5,167.3,1075.9
2/4/2013 15:00,587.3,1370.4,456.8,4111.2,780.2,1647,433.4,4594.4,520.1,520.1,433.4,296.3,474.1,296.3,3899.9,959.3,89.2,1055.2,178.3,163.5,1061.7
2/4/2013 16:00,596.7,1392.3,464.1,4176.8,781.3,1649.4,434.1,4601,520.9,520.9,434.1,294.7,471.5,294.7,3874.3,958.9,90.3,1068.8,180.6,165.6,1099.3
2/4/2013 17:00,605.1,1411.8,470.6,4235.5,778.1,1642.7,432.3,4582.2,518.7,518.7,432.3,297.8,476.5,297.8,3924.9,959.6,92.9,1099.6,185.8,170.4,1172.7
2/4/2013 18:00,606,1414,471.3,4241.9,762.8,1610.3,423.8,4491.9,508.5,508.5,423.8,296.8,474.9,296.8,3907.9,959.4,91.4,1081.2,182.7,167.5,1189.6
2/4/2013 19:00,608.2,1419.2,473.1,4257.5,767.8,1620.9,426.5,4521.3,511.8,511.8,426.5,299.3,478.9,299.3,3949.1,959.9,93.8,1110.2,187.6,172,1196.3
2/4/2013 20:00,571.9,1334.5,444.8,4003.5,723.6,1527.5,402,4261,482.4,482.4,402,284.5,455.1,284.5,3708.3,956.9,91.1,1077.8,182.2,167,1146.3
2/4/2013 21:00,549.9,1283.1,427.7,3849.4,680,1435.6,377.8,4004.6,453.3,453.3,377.8,266.8,426.8,266.8,3421.7,953.4,86.1,1019.2,172.3,157.9,1124
2/4/2013 22:00,534.1,1246.3,415.4,3738.8,662.9,1399.4,368.3,3903.7,441.9,441.9,368.3,243.3,389.2,243.3,3040.9,948.7,81.9,969,163.8,150.1,1034.9
2/4/2013 23:00,503,1173.7,391.2,3521.1,652.9,1378.3,362.7,3844.8,435.3,435.3,362.7,238,380.9,238,2956.4,947.6,78.3,926.4,156.6,143.5,1003.1
3/4/2013 0:00,476.3,1111.4,370.5,3334.2,638.7,1348.4,354.8,3761.2,425.8,425.8,354.8,249.9,399.8,249.9,3147.8,950,93.3,1104,186.6,171,986.3
3/4/2013 1:00,448.2,1045.9,348.6,3137.6,604.1,1275.3,335.6,3557.4,402.7,402.7,335.6,225.6,361,225.6,2755.2,945.1,84.8,1003.1,169.5,155.4,974.5
3/4/2013 2:00,423.6,988.4,329.5,2965.1,559.8,1181.8,311,3296.5,373.2,373.2,311,221.7,354.8,221.7,2691.9,944.3,74.4,880.5,148.8,136.4,988.2
3/4/2013 3:00,411.5,960.2,320.1,2880.6,537.9,1135.6,298.8,3167.7,358.6,358.6,298.8,210.1,336.1,210.1,2503.4,942,69.8,826.5,139.7,128.1,988.9
3/4/2013 4:00,413.3,964.4,321.5,2893.1,540.1,1140.3,300.1,3180.7,360.1,360.1,300.1,209.2,334.6,209.2,2488.3,941.8,69.3,819.8,138.5,127,1003.4
3/4/2013 5:00,420.6,981.3,327.1,2944,586.7,1238.6,325.9,3455,391.1,391.1,325.9,223.5,357.6,223.5,2720.8,944.7,73.2,866.1,146.4,134.2,1053.7
3/4/2013 6:00,454.3,1060.1,353.4,3180.3,688.9,1454.2,382.7,4056.6,459.2,459.2,382.7,259,414.4,259,3295.7,951.8,80.3,950.6,160.7,147.3,1224.1
3/4/2013 7:00,503.3,1174.4,391.5,3523.1,756,1595.9,420,4451.9,504,504,420,292.6,468.1,292.6,3839.8,958.5,92.7,1097,185.4,170,1369.9
3/4/2013 8:00,540.3,1260.7,420.2,3782.1,768.1,1621.5,426.7,4523.1,512,512,426.7,296,473.6,296,3895.6,959.2,93,1100.4,186,170.5,1293.3
3/4/2013 9:00,557.2,1300.2,433.4,3900.6,781.6,1650.1,434.2,4602.8,521.1,521.1,434.2,295.6,472.9,295.6,3888.6,959.1,89.1,1054.2,178.2,163.3,1220.4
3/4/2013 10:00,563.2,1314.1,438,3942.2,777.7,1641.7,432,4579.6,518.4,518.4,432,290.6,464.9,290.6,3807.5,958.1,83.1,983.3,166.2,152.3,1164.5
3/4/2013 11:00,562.7,1313,437.7,3939,774.3,1634.5,430.1,4559.5,516.2,516.2,430.1,292.3,467.6,292.3,3834.7,958.5,77.9,922.2,155.9,142.9,1113.6
3/4/2013 12:00,570,1330,443.3,3989.9,768.6,1622.7,427,4526.4,512.4,512.4,427,293.9,470.3,293.9,3861.4,958.8,79.5,940.4,158.9,145.7,1117
3/4/2013 13:00,571.6,1333.7,444.6,4001.2,766.9,1619.1,426.1,4516.3,511.3,511.3,426.1,293.5,469.6,293.5,3854.8,958.7,81.3,962.1,162.6,149.1,1100.9
3/4/2013 14:00,580.6,1354.6,451.5,4063.9,759.4,1603.3,421.9,4472.3,506.3,506.3,421.9,290.4,464.7,290.4,3805,958.1,81.4,963.4,162.8,149.3,1081.5
