Time,NQ,CQ,SWQ,SEQ,NNSW,Hunter,Central,SYD,STHRN,CAN,SWNSW,NVIC,CVIC,LV,MEL,WVIC,SESA,ADE,NSA,FNSA,TAS
4/7/2013 0:00,996,1782.4,367,2096.9,353.5,2739.4,618.6,3446.3,618.6,441.8,618.6,337.3,393.5,337.3,3597.1,956.2,143.4,940.3,191.2,318.7,1026.9
4/7/2013 1:00,941.4,1684.6,346.8,1981.9,331.4,2568.6,580,3231.4,580,414.3,580,302.2,352.5,302.2,3128.8,950.4,125.8,824.5,167.7,279.5,976.1
4/7/2013 2:00,874.5,1564.9,322.2,1841,313,2425.9,547.8,3051.9,547.8,391.3,547.8,286.2,333.9,286.2,2916,947.7,109.2,716.2,145.7,242.8,968.4
4/7/2013 3:00,852.3,1525.1,314,1794.2,285.5,2212.8,499.7,2783.8,499.7,356.9,499.7,268.4,313.1,268.4,2678.3,944.7,101.2,663.4,134.9,224.9,957.6
4/7/2013 4:00,829.8,1484.8,305.7,1746.9,270.8,2098.8,473.9,2640.5,473.9,338.5,473.9,260.1,303.5,260.1,2568,943.4,98.9,648.4,131.9,219.8,966.7
4/7/2013 5:00,853.9,1528.1,314.6,1797.7,274.1,2124,479.6,2672.1,479.6,342.6,479.6,261,304.5,261,2580.2,943.5,96.8,634.9,129.1,215.2,975.4
4/7/2013 6:00,940.4,1682.9,346.5,1979.9,304.1,2356.4,532.1,2964.5,532.1,380.1,532.1,283.7,331,283.7,2882.8,947.3,100,655.9,133.4,222.3,1075.4
4/7/2013 7:00,1046.3,1872.4,385.5,2202.8,356.3,2761.1,623.5,3473.6,623.5,445.3,623.5,340.5,397.2,340.5,3639.9,956.7,117.9,773,157.2,262,1269.1
4/7/2013 8:00,1126.6,2015.9,415,2371.7,390,3022.8,682.6,3802.9,682.6,487.5,682.6,370.2,431.9,370.2,4035.9,961.7,135.9,890.8,181.2,302,1469.9
4/7/2013 9:00,1124.8,2012.8,414.4,2368,392.3,3040.5,686.6,3825.2,686.6,490.4,686.6,383.2,447.1,383.2,4209.2,963.9,144.7,948.6,192.9,321.6,1437.4
4/7/2013 10:00,1086.9,1945,400.4,2288.3,381.7,2957.9,667.9,3721.3,667.9,477.1,667.9,382.2,445.8,382.2,4195.4,963.7,144.5,947.3,192.7,321.1,1405.4
4/7/2013 11:00,1077.6,1928.4,397,2268.7,366.2,2837.7,640.8,3570.1,640.8,457.7,640.8,382.7,446.5,382.7,4202.6,963.8,148.6,974.1,198.1,330.2,1397.5
4/7/2013 12:00,1056.8,1891,389.3,2224.8,351.1,2721.4,614.5,3423.7,614.5,438.9,614.5,383.8,447.7,383.8,4217,964,142.1,931.6,189.5,315.8,1320.3
4/7/2013 13:00,1048.4,1876.2,386.3,2207.2,344.7,2671.4,603.2,3360.8,603.2,430.9,603.2,382.7,446.5,382.7,4203.1,963.8,142.6,934.8,190.1,316.9,1329.4
4/7/2013 14:00,1055.6,1889,388.9,2222.4,340,2634.7,594.9,3314.6,594.9,425,594.9,377.8,440.8,377.8,4138,963,137.9,903.8,183.8,306.4,1351.6
4/7/2013 15:00,1077,1927.2,396.8,2267.3,338.3,2622,592.1,3298.7,592.1,422.9,592.1,371,432.8,371,4046.5,961.8,144.5,947.5,192.7,321.2,1306.1
4/7/2013 16:00,1112.4,1990.6,409.8,2341.9,340.8,2640.8,596.3,3322.3,596.3,425.9,596.3,374.9,437.4,374.9,4099.1,962.5,148,970.5,197.4,329,1334.9
4/7/2013 17:00,1164.4,2083.6,429,2451.3,360,2790.2,630,3510.3,630,450,630,384,448,384,4219.7,964,155.5,1019.5,207.4,345.6,1396.7
4/7/2013 18:00,1232.3,2205.2,454,2594.3,409,3169.8,715.8,3987.8,715.8,511.3,715.8,418.4,488.1,418.4,4678.7,969.7,171.4,1123.3,228.5,380.8,1478.2
4/7/2013 19:00,1223.2,2188.8,450.6,2575.1,406,3146.6,710.5,3958.7,710.5,507.5,710.5,403.1,470.3,403.1,4475,967.2,179.1,1174.1,238.8,398,1369.9
4/7/2013 20:00,1204.8,2155.9,443.9,2536.4,390.4,3025.3,683.1,3806,683.1,487.9,683.1,383.6,447.5,383.6,4214.1,963.9,174.2,1141.9,232.2,387.1,1422.9
4/7/2013 21:00,1175.8,2104.1,433.2,2475.4,379.3,2939.2,663.7,3697.7,663.7,474.1,663.7,367.7,429,367.7,4003,961.3,167.7,1099.3,223.6,372.6,1362.5
4/7/2013 22:00,1104.5,1976.4,406.9,2325.2,356.1,2760,623.2,3472.3,623.2,445.2,623.2,339.3,395.8,339.3,3623.6,956.5,155.2,1017.3,206.9,344.9,1219.4
4/7/2013 23:00,1047.9,1875.2,386.1,2206.1,347.1,2690.4,607.5,3384.7,607.5,433.9,607.5,325.7,380,325.7,3442.5,954.3,136.7,896.4,182.3,303.9,1166.2
