Time,NQ,CQ,SWQ,SEQ,NNSW,Hunter,Central,SYD,STHRN,CAN,SWNSW,NVIC,CVIC,LV,MEL,WVIC,SESA,ADE,NSA,FNSA,TAS
7/1/13 0:00,1037,1855.7,382.1,2183.2,285.6,2213.3,499.8,2784.5,499.8,357,499.8,291.9,340.6,291.9,2992.2,948.7,154.9,1015.8,206.6,344.3,1051.2
7/1/13 1:00,980.3,1754.2,361.2,2063.8,269.5,2088.9,471.7,2628,471.7,336.9,471.7,261.1,304.6,261.1,2581.4,943.5,138.6,908.4,184.8,307.9,1047.2
7/1/13 2:00,930.8,1665.6,342.9,1959.6,253.3,1963.1,443.3,2469.6,443.3,316.6,443.3,261.9,305.6,261.9,2592,943.7,121,793.4,161.4,269,1048.5
7/1/13 3:00,920.8,1647.7,339.2,1938.5,247.7,1919.6,433.5,2415,433.5,309.6,433.5,249.4,290.9,249.4,2424.7,941.6,118.3,775.8,157.8,263,1037.1
7/1/13 4:00,915.6,1638.4,337.3,1927.5,250.1,1937.9,437.6,2438,437.6,312.6,437.6,249.4,291,249.4,2425.4,941.6,117.1,767.5,156.1,260.2,1035.6
7/1/13 5:00,933.6,1670.6,344,1965.4,266.9,2068.6,467.1,2602.5,467.1,333.7,467.1,265.8,310.1,265.8,2643.9,944.3,117.5,770.5,156.7,261.2,1040.4
7/1/13 6:00,984.5,1761.8,362.7,2072.7,299.8,2323.1,524.6,2922.6,524.6,374.7,524.6,294.2,343.2,294.2,3022.7,949,126.7,830.4,168.9,281.5,1101.7
7/1/13 7:00,1100.8,1969.8,405.5,2317.4,333.4,2583.9,583.5,3250.8,583.5,416.8,583.5,334.7,390.5,334.7,3562.5,955.8,137.5,901.1,183.3,305.5,1175.3
7/1/13 8:00,1198.9,2145.5,441.7,2524.1,360.5,2793.7,630.8,3514.7,630.8,450.6,630.8,353.8,412.8,353.8,3817.8,959,149.4,979.1,199.1,331.9,1200.8
7/1/13 9:00,1262.6,2259.5,465.2,2658.2,376,2913.9,658,3665.9,658,470,658,371.7,433.6,371.7,4055.6,961.9,163.7,1073,218.2,363.7,1193.2
7/1/13 10:00,1281.2,2292.7,472,2697.3,386.3,2993.7,676,3766.3,676,482.9,676,382.8,446.6,382.8,4204.1,963.8,175,1146.9,233.3,388.8,1155.9
7/1/13 11:00,1277.1,2285.3,470.5,2688.6,395.2,3063,691.7,3853.5,691.7,494,691.7,400.7,467.5,400.7,4443.1,966.8,187.6,1229.9,250.2,416.9,1187.2
7/1/13 12:00,1285.6,2300.5,473.6,2706.5,404.4,3133.9,707.6,3942.6,707.6,505.5,707.6,420.8,490.9,420.8,4710.3,970.1,205.7,1348.6,274.3,457.2,1191.4
7/1/13 13:00,1282.5,2295.1,472.5,2700.1,414,3208.5,724.5,4036.5,724.5,517.5,724.5,437,509.8,437,4926.8,972.8,220.6,1446.1,294.1,490.2,1189.3
7/1/13 14:00,1290.8,2309.9,475.6,2717.6,423.9,3285.3,741.8,4133.1,741.8,529.9,741.8,455.6,531.5,455.6,5174.3,975.9,227.9,1494.1,303.9,506.5,1152.6
7/1/13 15:00,1304.4,2334.1,480.6,2746,432,3348.3,756.1,4212.3,756.1,540,756.1,472.5,551.2,472.5,5399.9,978.7,238.1,1560.8,317.4,529.1,1182.1
7/1/13 16:00,1316.8,2356.4,485.1,2772.3,440.5,3414,770.9,4295.1,770.9,550.6,770.9,489.5,571.1,489.5,5626.3,981.6,246.9,1618.2,329.1,548.6,1204.9
7/1/13 17:00,1328.8,2377.8,489.6,2797.5,435,3371.4,761.3,4241.4,761.3,543.8,761.3,492.6,574.7,492.6,5667.6,982.1,253.1,1659.4,337.5,562.5,1219.4
7/1/13 18:00,1313.3,2350.1,483.8,2764.8,415.7,3221.7,727.5,4053.1,727.5,519.6,727.5,470.2,548.6,470.2,5369.8,978.4,243.7,1597.3,324.9,541.5,1207
7/1/13 19:00,1293.9,2315.5,476.7,2724.1,391.8,3036.6,685.7,3820.2,685.7,489.8,685.7,446.7,521.2,446.7,5056.5,974.5,238.6,1564,318.1,530.2,1191.5
7/1/13 20:00,1296.6,2320.3,477.7,2729.8,385.8,2989.9,675.1,3761.5,675.1,482.2,675.1,422.5,493,422.5,4733.8,970.4,219.4,1438,292.5,487.4,1183.4
7/1/13 21:00,1267.9,2268.9,467.1,2669.3,363.5,2816.8,636.1,3543.8,636.1,454.3,636.1,406.1,473.8,406.1,4515.1,967.7,203.4,1333.4,271.2,452,1166.6
7/1/13 22:00,1231.3,2203.4,453.6,2592.3,345.7,2679.2,605,3370.6,605,432.1,605,359,418.8,359,3886.4,959.8,184.1,1207.1,245.5,409.2,1135.7
7/1/13 23:00,1143.1,2045.5,421.1,2406.5,326.3,2528.4,570.9,3180.9,570.9,407.8,570.9,342.3,399.4,342.3,3664.1,957.1,166.7,1092.5,222.2,370.3,1098.3
