site_index, node_name, connection_cost
4001,Central,0
4002,Central,0
4003,Central,0
4004,Central,0
4005,CQ,0
4006,CQ,0
4007,CQ,0
4008,CQ,0
4009,Hunter,0
4010,Hunter,0
4011,NQ,0
4012,STHRN,0
4013,STHRN,0
4014,SWQ,0
4015,SWQ,0
4016,SWQ,0
4017,SWQ,0
3001,CVIC,0
3002,LV,0
3003,LV,0
3004,LV,0
3005,LV,0
3006,NSA,0
6001,ADE,0
6002,ADE,0
6003,NQ,0
6004,SEQ,0
6005,SWQ,0
6006,SYD,0
6007,TAS,0
5001,ADE,0
5002,Hunter,0
5003,MEL,0
5004,MEL,0
5005,NSA,0
5006,SWNSW,0
5007,SWQ,0
5008,SWQ,0
5009,SWQ,0
5010,TAS,0
1001,NQ,0
2001,NQ,0
1002,NQ,0.3
2002,NQ,0.3
1003,NQ,0
2003,NQ,0
1004,NQ,0
2004,NQ,0
1005,NQ,0.3
2005,NQ,0.3
1006,NQ,0.1
2006,NQ,0.1
1007,CQ,0
2007,CQ,0
1008,NQ,0.4
2008,NQ,0.4
1009,CQ,0.3
2009,CQ,0.3
1010,CQ,0.1
2010,CQ,0.1
1011,SWQ,0
2011,SWQ,0
1012,FNSA,0.2
2012,FNSA,0.2
1013,FNSA,0.3
2013,FNSA,0.3
1014,CQ,0.5
2014,CQ,0.5
1015,SWQ,0.2
2015,SWQ,0.2
1016,SWQ,0
2016,SWQ,0
1017,SEQ,0
2017,SEQ,0
1018,FNSA,0.3
2018,FNSA,0.3
1019,FNSA,0
2019,FNSA,0
1020,FNSA,0.2
2020,FNSA,0.2
1021,SWNSW,0.4
2021,SWNSW,0.4
1022,STHRN,0.3
2022,STHRN,0.3
1023,NNSW,0.1
2023,NNSW,0.1
1024,NNSW,0
2024,NNSW,0
1025,NSA,0.2
2025,NSA,0.2
1026,NSA,0
2026,NSA,0
1027,ADE,0.1
2027,ADE,0.1
1028,SWNSW,0.3
2028,SWNSW,0.3
1029,SWNSW,0.1
2029,SWNSW,0.1
1030,STHRN,0
2030,STHRN,0
1031,Hunter,0
2031,Hunter,0
1032,SESA,0
2032,SESA,0
1033,CVIC,0.1
2033,CVIC,0.1
1034,CVIC,0
2034,CVIC,0
1035,SWNSW,0
2035,SWNSW,0
1036,CAN,0
2036,CAN,0
1037,CVIC,0
2037,CVIC,0
1038,MEL,0
2038,MEL,0
1039,LV,0
2039,LV,0
1040,TAS,0
2040,TAS,0
1041,TAS,0
2041,TAS,0
1042,TAS,0
2042,TAS,0
1043,TAS,0
2043,TAS,0
5011,NQ,0
5012,CQ,0
5013,SEQ,0
5014,Hunter,0
5015,SYD,0
5016,MEL,0
5017,ADE,0
5018,TAS,0
